"genes","adj_p_DESeq2","adj_p_edgeR","adj_p_limma"
"DLEU1",2.35424798816134e-11,2.96732762087093e-10,1.71748785069982e-05
"RTKN2",6.01516459101784e-09,1.35882089515021e-07,9.45794066608535e-05
"HARBI1",3.98468621216403e-05,0.000996009139689471,0.00114044336114406
"DLEU7",1.91728862160329e-07,1.00725069299059e-06,0.00015669946958997
"TNFSF11",0.000216828026246681,0.000597357413717603,0.00172804150727866
"DCAF7",3.49219868668341e-05,0.000344065549379386,0.00137154988158486
"ITGB8",0.000341760255041524,0.000673974081670838,0.0254859312029287
"EPHX4",3.55428227491777e-09,1.09619347445343e-07,0.00015669946958997
"CCNF",4.0137496470265e-10,2.43433643176955e-08,2.00266623654271e-05
"DNMT3B",2.07118723091344e-07,1.83992214878181e-06,0.000205415904288336
"EZH2",5.25488442070596e-11,6.47691792203065e-10,9.73139030263241e-06
"HOXB7",1.80728594834346e-10,4.34696713046989e-09,1.35124998529766e-05
"DRAXIN",0.000682737944491441,0.00127061081917087,0.0357859574638865
"SF3B4",2.83325251907013e-05,0.00187462814897253,0.00176144329284987
"PPIH",8.72356730466898e-07,0.000162757162007357,0.000664747720158009
"AURKB",4.11848315492019e-13,7.52049296909682e-11,7.78984609576662e-06
"WDR62",3.99924604792758e-09,5.83481281731224e-08,3.04531735708431e-05
"FANCD2",2.2921048166412e-12,1.50691406911136e-10,7.66338447092036e-06
"APOBEC3B",0.000132697594015606,0.000756731092707047,0.00652513318283164
"EFTUD2",1.19091270247158e-05,0.000180958518020711,0.000561600085454647
"TRIM36",0.00188307572636476,0.00414585196229005,0.0106866493814094
"CDCA8",4.44055408417116e-12,6.45286397863636e-10,3.86618143397777e-06
"SEC61A2",0.00176477978218266,0.0114898265559625,0.0137606615023683
"CCNB1",5.27329418881752e-11,2.52135978305379e-09,1.28264393041888e-05
"WNT5A",0.00940521198932673,0.0128111688116405,0.0244231038472597
"ERCC6L",5.31654923171562e-12,6.51959487244649e-10,3.38608909529008e-05
"NCAPH",3.2197801723651e-09,5.21768373780387e-08,6.79347510050736e-05
"FANCL",3.94393416084663e-05,8.82126031265881e-05,0.00206980416379022
"DNAH5",2.20223882768628e-07,1.95850889482213e-06,0.0019813355085156
"CDCP1",0.000225038626653342,0.000374272744301322,4.17753760694489e-05
"TAF4",5.38999962327897e-05,0.000920467897282563,0.00114296874593024
"NCAPG",1.42772562351e-10,3.79098068732535e-09,6.86057769789846e-05
"CENPA",2.05422639290011e-12,4.09985668508654e-10,8.46167355886658e-06
"CHRNA5",0.0191747326578234,0.0316290262475433,0.00872814833452949
"HELLS",1.77941255494051e-09,1.07313395037428e-08,3.61815633978657e-05
"DPP3",0.000327846287856919,0.000880863718617591,0.00373391519186314
"MGME1",0.000919090140782273,0.00273282376339012,0.0133279052776918
"NIPSNAP1",0.036406343115382,0.0486652121552942,0.0460969659240216
"CENPN",0.0213286198534049,0.0367195665674946,0.0326018359874146
"RMI2",5.78355842894906e-10,1.56443888153472e-08,6.7008821219072e-05
"DHFR",0.000253651803506654,0.000494984048482949,0.00503084819716419
"LPIN3",0.00570623429611999,0.00826232737170516,0.0371376543508443
"RAD9A",0.0075510579723388,0.0179831593787417,0.0330192558021923
"CENPK",6.25312424464196e-07,3.22011073680928e-06,0.000980338298058576
